team,seed,region,adj_off,adj_def,adj_tempo,net_rating,eFG,opp_eFG,to_rate,forced_to_rate,orb_rate,drb_rate,ft_rate,opp_ft_rate,fg3_rate,opp_fg3_rate,stl_rate,opp_stl_rate
Marshall,,,112.055,115.244,69.3562,-3.1885,54.8895899053628,50.2934898612593,16.5665485786654,16.2927213294313,31.8559556786704,66.18644067796609,29.2323869610936,41.1419423692636,44.3217665615142,39.5944503735326,0.0862555835087539,0.100859703467908
Maryland,,,111.143,106.908,66.2101,4.23522,48.1353223228556,54.4023479188901,18.5618000418772,14.9399853995597,33.8099243061396,70.9259259259259,36.387852956846,35.752401280683,46.9898774640384,43.2764140875133,0.0706253855251914,0.0950726343608346
Maryland Eastern Shore,,,94.6377,115.487,63.1472,-20.8488,47.7584059775841,50.7462686567164,23.7686484431915,17.8898356086282,32.3770491803279,66.358024691358,29.4520547945205,43.0348258706468,33.4993773349938,39.7388059701493,0.0861550156789459,0.137848025086313
Massachusetts,,,108.737,111.338,69.9852,-2.60119,53.0753459764223,52.8782894736842,17.8413090791842,16.8095225300266,33.3038869257951,73.8604651162791,37.0066632496156,44.5723684210526,35.366478728857,42.7083333333333,0.0907112341134428,0.101888921729317
Memphis,,,107.146,104.623,70.2556,2.52339,48.7029501525941,48.7689889994762,18.8874837855294,18.5835472648427,35.2693602693603,64.35224386113461,34.6897253306205,42.3782084861184,33.6724313326551,43.2163436354112,0.117232657979148,0.112890707683624
Mercer,,,111.796,113.766,68.9937,-1.96991,53.1050493325595,52.543810062182,15.0429132612217,16.9791298195967,32.6129666011788,66.79425837320571,39.1758560650029,29.7343131712832,39.1758560650029,42.0576596947428,0.102271951544939,0.0883709095873749
Mercyhurst,,,101.244,111.916,64.8713,-10.6724,49.4603345925526,50.1478415138971,14.2886060274103,18.6704452091495,26.4220183486239,70.1040681173132,25.5801403130059,42.5783560023655,31.0847274689692,33.6487285629805,0.106211971470417,0.0771584725480157
Merrimack,,,106.55,107.406,63.5032,-0.855903,49.1189427312775,46.689802455953,14.8425547461923,20.3685520516978,24.8424842484248,60.1031814273431,38.1607929515419,37.1062466631073,46.0903083700441,32.6214628937533,0.127417623821159,0.0721576507661042
Middle Tennessee,,,109.174,109.834,65.8336,-0.660221,51.5680473372781,50.9501187648456,17.1248879178612,14.9527044946516,30.6784660766962,71.5139442231076,32.7218934911243,35.6888361045131,45.3254437869822,35.332541567696,0.0843615422502305,0.0934544030915727
Milwaukee,,,106.507,115.334,67.431,-8.82686,49.8684902682798,55.5,15.2243963947135,15.8315042264045,33.0464716006885,70.7798617966436,32.0883745397159,35.8888888888889,38.1378221988427,40.2222222222222,0.0943352169242983,0.0840610843879886
Minnesota,,,114.629,103.728,62.5325,10.9016,54.2014302741359,51.8883878241263,16.6244720565428,17.1148694623405,27.191235059761,70.2439024390244,35.9356376638856,27.28297632469,47.1990464839094,41.7136414881623,0.101512263000129,0.0877811356377925
Mississippi State,,,112.71,105.711,69.6901,6.99873,51.4880952380952,50.9397590361446,16.0802282354975,12.7950203164174,29.8274445357436,69.2989524576954,30.6547619047619,32.289156626506,40.1289682539683,39.4698795180723,0.0799688769776087,0.0950981239733725
Mississippi Valley State,,,90.3553,121.686,67.0545,-31.3304,45.1841359773371,55.5122494432071,21.9141473191916,17.0591837870943,26.3825929283772,64.4699140401146,33.8810198300283,50.7795100222717,30.1983002832861,42.4832962138085,0.100662546628807,0.1238238405434
Missouri State,,,108.981,112.124,65.5408,-3.14306,51.0749564206856,52.0496535796767,16.7075578959967,16.9469211896356,31.9626168224299,67.9487179487179,43.7536316095293,40.2424942263279,41.2550842533411,35.796766743649,0.0995751301537909,0.0957453174555682
Monmouth,,,106.094,106.993,67.1461,-0.898526,49.6091714434601,50.0527426160338,16.5977880770325,19.8994986084852,31.2013828867761,67.24436741767761,32.725377800938,32.2257383966245,34.3929129755081,38.2911392405063,0.11243662890893,0.0910201281643716
Montana,,,106.776,108.495,69.6641,-1.71946,55.8297347316471,50.5356186395287,19.5619667516932,14.3079133315742,20.6858407079646,70.3835860838537,36.7674275138803,32.6191751472951,41.8260333127699,38.0289234065345,0.0764652417392324,0.113055970915061
Montana State,,,110.991,107.991,65.9305,3.00056,53.603071470762,51.6538688718252,14.7201583686004,15.6845825375776,27.0381836945304,71.7647058823529,30.2421736562315,29.5924394565859,44.6544595392794,34.3177790903721,0.0964424168977266,0.0786767085218296
Morehead State,,,106.89,117.231,65.413,-10.3417,49.1520467836257,50.1663893510815,18.009437637993,15.4366608325654,35.7699805068226,64.1941391941392,37.719298245614,35.6073211314476,30.5263157894737,39.0460343871326,0.0895524234196904,0.10587966083875
Morgan State,,,99.4165,121.197,70.7686,-21.7804,45.828025477707,51.6731016731017,17.8311902449834,16.4756026824992,30.7462686567164,64.86199575371549,42.6751592356688,50.9009009009009,35.1592356687898,31.8532818532819,0.0604800604800605,0.0943697495421633
Mount St. Mary's,,,99.4449,109.057,67.5695,-9.61216,50.6169212690952,47.2175848636617,22.406570062069,15.33330959756,32.3017408123791,70.8695652173913,33.3137485311398,37.3400111296605,42.5969447708578,44.9081803005008,0.0849740686675924,0.12722374526768
Murray State,,,116.307,112.176,71.6196,4.13131,53.7532133676093,52.2784176264397,16.1710499291976,16.0413356249527,33.0396475770925,68.72284969591661,39.1259640102828,32.8993490235353,44.7814910025707,27.3410115172759,0.0825847737025867,0.0942590610846278
NJIT,,,96.5701,113.446,67.8814,-16.8763,46.7421314191055,50.0268240343348,17.0738582432565,16.1994557995317,26.2380538662033,67.8787878787879,33.1860850358918,37.8755364806867,40.1435670900055,40.6652360515021,0.0929627861223128,0.0961842688097197
Navy,,,107.405,105.557,65.1732,1.84759,53.2467532467532,48.031945236737,16.8275845200898,18.2951064259115,31.6161616161616,73.0839416058394,39.5513577331759,25.6132344552196,33.1168831168831,45.8071876782658,0.114466708654099,0.0924538800667722
Nevada,,,115.721,104.42,66.1665,11.3007,49.7135416666667,51.047261009667,14.9228641921753,17.3521676653201,32.0201173512154,72.7508650519031,46.6145833333333,40.2792696025779,32.34375,42.4274973147154,0.0984735515006914,0.0871946425182333
